budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,1209,1.2153182933302171,0.13687187398753695,2595,False,False
429,1210,1.5549762528326092,0.17512491575199882,2022,False,False
429,1212,3.477654696924517,0.39166127759444924,309,True,False
429,1214,0.8223553375451116,0.09261550389817895,3268,False,False
429,1215,1.2604721333905473,0.1419572008033258,2495,False,False
429,1216,1.8432098067683098,0.20758642553900555,1593,False,False
429,1218,0.6964859485379837,0.07843981079323627,3457,False,False
429,1219,2.58788740222456,0.2914536877747559,791,True,False
429,1220,4.630204858480465,0.5214640636979396,91,True,False
429,1221,1.8915595497166406,0.2130316821112734,1548,False,False
429,1223,1.0155939453875062,0.11437846963915856,2948,False,False
429,1224,1.536089581762985,0.172997856464837,2064,False,False
429,1225,2.20151899020573,0.24794001000586782,1151,False,False
429,1227,2.749175710630982,0.30961833908052583,667,True,True
429,1228,3.704198124424169,0.41717510687819226,243,True,False
429,1229,1.579828793679226,0.17792386468389315,1986,False,False
429,1230,0.9472120528435469,0.10667714741709357,3056,False,False
429,1231,1.6858265824910899,0.18986157357286232,1811,False,False
429,1232,0.9650478220384936,0.1086858517763706,3031,False,False
429,1233,1.4465695324187207,0.1629159075791413,2189,False,False
429,1234,1.5171976056374525,0.1708701997103716,2088,False,False
429,1236,2.982668714686401,0.3359148452743655,528,True,False
429,1237,2.4861573990406796,0.2799966264822929,866,True,False
429,1240,1.8455710049955512,0.20785234898308783,1590,False,False
429,1241,1.4300570359131095,0.16105623316023449,2214,False,False
429,1242,2.763984737947551,0.31128616497591094,655,True,False
429,1243,1.4737387626244463,0.16597576726648824,2149,False,False
429,1244,0.7501730136574449,0.08448616856808379,3372,False,False
429,1245,0.9475901236195013,0.10671972659646477,3053,False,False
429,1246,1.354269750440483,0.15252089896507293,2340,False,False
429,1247,1.1936680148360561,0.13443357102928244,2646,False,False
429,1248,0.17301584239493598,0.0194854325061104,3978,False,False
429,1249,0.28880052531934464,0.032525363376805005,3902,False,False
429,1250,4.182665786568629,0.4710612089138125,140,True,False
429,1251,2.2365022151612135,0.2518798993205131,1107,False,False
429,1252,0.9042151042937238,0.10183473456438012,3127,False,False
429,1253,0.8602580038475611,0.09688418725003149,3206,False,False
429,1254,2.287112937024132,0.25757979241292905,1046,False,False
429,1255,2.476041709008455,0.2788573747661078,876,True,False
429,1256,0.716291029580795,0.08067030347295773,3425,False,False
429,1257,0.29752735558151666,0.033508198588378744,3891,False,False
429,1258,1.4567504246268506,0.1640625025107237,2181,False,False
429,1261,2.1450150837799544,0.24157641324067788,1234,False,False
429,1263,2.7262169298646706,0.30703266965943676,690,True,False
429,1264,2.1301278641278723,0.23989978114896385,1246,False,False
429,1266,2.675019901484957,0.3012667454111292,730,True,False
429,1267,2.41216623946518,0.2716635760170863,931,True,False
429,1268,2.8964841008078963,0.3262085406172381,573,True,False
429,1269,2.5454919983233455,0.28667902223054104,829,True,False
429,1270,3.024289461094781,0.34060226715301173,504,True,False
429,1272,3.577009788910921,0.4028508710573432,277,True,False
429,1273,1.566219333029158,0.17639113667892736,2001,False,False
429,1274,1.2446926221432655,0.14018007682940398,2531,False,False
429,1276,2.228532072540865,0.2509822839695536,1120,False,False
429,1277,2.1571966476187563,0.24294832830183183,1218,False,False
429,1278,2.1066621881516943,0.23725702405160884,1276,False,False
429,1279,3.236978979074687,0.3645558380514181,405,True,False
429,1280,1.5622738072820597,0.17594678271352163,2008,False,False
429,1281,1.2850406918526882,0.14472416700167948,2452,False,False
429,1282,0.37639909496985213,0.042390910906611644,3815,False,False
